Weighted ABs,Weighted Hits,Weighted 2Bs,Weighted 3Bs,Weighted HRs,Weighted BBs,Weighted SBs,Avg Annual
249.75,64.5,10.5,1.5,3.75,17.25,6.0,930000
194.75,54.0,7.5,0.0,7.75,8.5,2.0,925000
207.5,45.0,15.5,0.0,3.75,12.75,0.0,905000
126.5,29.75,5.75,1.0,2.0,13.25,5.0,900000
309.0,74.5,12.0,0.75,9.0,29.75,8.75,870000
99.0,18.25,4.0,0.0,5.75,14.0,1.5,850000
0.0,0.0,0.0,0.0,0.0,0.0,0.0,820000
455.0,113.25,18.25,0.0,6.75,36.0,1.75,782000
244.5,58.75,5.5,1.5,5.25,15.25,0.75,775000
155.75,33.5,6.25,0.0,2.25,16.75,1.5,750000
441.25,121.25,17.25,3.75,3.75,39.5,8.5,750000
784.75,214.25,38.25,2.75,33.5,41.25,19.0,657000
40.0,11.0,0.0,0.0,2.75,1.5,0.0,650000
17.0,1.0,0.0,0.0,0.0,1.0,0.0,650000
1001.0,245.75,60.25,7.5,55.75,69.75,9.5,645000
1104.0,314.5,66.5,6.25,44.25,102.75,29.25,623200
605.0,165.25,25.5,3.0,55.0,133.75,9.0,622300
790.75,216.5,60.25,2.75,25.0,51.25,1.75,621900
651.75,178.25,34.25,1.75,21.5,77.5,20.75,620500
621.75,176.0,29.0,0.0,48.0,58.0,2.75,620400
431.25,122.0,20.25,4.0,3.75,18.5,3.5,615500
601.0,154.25,35.75,1.75,36.0,84.0,3.5,605094
1009.25,303.75,63.0,3.75,41.5,107.5,6.25,605000
425.0,89.0,16.0,1.0,30.0,59.75,1.0,604500
566.0,157.25,31.5,0.75,30.0,64.5,6.5,604500
793.25,224.5,45.75,3.5,34.5,44.0,12.75,602500
751.75,189.25,31.5,2.75,46.75,94.5,0.75,602500
64.0,19.75,4.75,1.75,0.0,3.75,0.0,600000
184.0,46.5,9.0,0.75,4.25,13.0,0.0,600000
706.75,197.75,48.75,7.25,25.0,66.25,18.5,599000
808.0,193.75,47.0,3.5,31.75,78.5,10.5,587500
480.0,128.0,26.0,4.0,39.0,64.0,10.0,585000
10.75,0.0,0.0,0.0,0.0,1.75,0.0,585000
383.0,112.25,24.75,1.75,10.25,22.75,1.0,584500
147.0,28.0,7.0,0.0,9.0,19.0,0.0,582000
59.25,12.0,1.0,0.0,4.0,7.0,0.0,580000
665.75,161.0,34.0,3.5,36.75,53.25,6.5,580000
685.5,167.25,28.25,10.5,23.5,55.25,36.5,580000
642.25,195.75,34.5,12.0,20.75,40.5,70.75,577200
63.25,16.25,3.25,0.0,0.75,2.75,0.75,575000
204.5,39.75,4.0,2.0,0.75,18.0,0.0,575000
109.0,30.0,4.0,1.0,5.0,10.0,10.0,575000
559.75,157.75,35.5,6.5,21.75,53.0,17.0,575000
671.75,176.75,41.25,6.0,16.0,53.75,16.0,575000
499.25,130.5,28.0,0.75,11.0,33.0,1.5,573500
645.0,166.25,32.0,6.0,28.25,81.75,2.0,572500
709.5,193.25,39.5,0.0,38.25,97.0,16.5,572400
515.5,145.0,26.0,6.75,7.5,45.0,12.0,571000
563.25,163.0,27.25,2.0,29.75,86.0,26.5,570100
364.0,92.0,17.0,3.0,24.0,39.0,8.0,570000
667.75,184.5,15.0,5.5,7.25,25.25,38.75,570000
415.5,91.75,16.0,1.0,26.0,19.0,0.0,570000
401.5,105.25,17.25,2.0,4.25,65.5,2.75,569600
820.25,235.0,48.5,8.25,20.5,43.25,40.0,569500
428.75,120.5,21.0,3.0,5.75,10.75,11.5,568500
898.0,234.0,59.5,2.5,43.0,92.25,13.75,567400
584.75,142.25,28.25,2.75,8.25,68.75,5.25,565000
100.5,16.5,6.0,0.75,3.0,6.0,0.0,565000
277.75,79.25,15.5,3.75,10.5,29.0,4.5,564800
