rank,Name,Team,POS,Salary,Years,Total_Value,Avg_Annual,Contract_Length,Years_Active,Years_Signed,int_value,int_annual,int_salary
--,Jorge Soler,KC,OF,"$4,666,666",9 (2012-20),"$30,000,000","$3,333,333",9,2012-20,2012,30000000,3333333,4666666
--,Ken Giles,HOU,RP,"$4,600,000",1 (2018),"$4,600,000","$4,600,000",1,2018,2018,4600000,4600000,4600000
--,Billy Hamilton,CIN,OF,"$4,600,000",1 (2018),"$4,600,000","$4,600,000",1,2018,2018,4600000,4600000,4600000
--,David Freese,PIT,3B,"$4,500,000",2 (2017-18),"$11,000,000","$5,500,000",2,2017-18,2017,11000000,5500000,4500000
--,Brad Miller,TB,2B,"$4,500,000",1 (2018),"$4,500,000","$4,500,000",1,2018,2018,4500000,4500000,4500000
--,Fernando Rodney,MIN,RP,"$4,500,000",1 (2018),"$4,500,000","$4,500,000",1,2018,2018,4500000,4500000,4500000
--,Sean Doolittle,WSH,RP,"$4,450,000",5 (2014-18),"$10,500,000","$2,100,000",5,2014-18,2014,10500000,2100000,4450000
--,Tucker Barnhart,CIN,C,"$4,437,500",4 (2018-21),"$16,000,000","$4,000,000",4,2018-21,2018,16000000,4000000,4437500
--,Sam Dyson,SF,RP,"$4,425,000",1 (2018),"$4,425,000","$4,425,000",1,2018,2018,4425000,4425000,4425000
--,Brad Hand,SD,RP,"$4,416,666",3 (2018-20),"$19,750,000","$6,583,333",3,2018-20,2018,19750000,6583333,4416666
--,Jake Lamb,ARI,3B,"$4,275,000",1 (2018),"$4,275,000","$4,275,000",1,2018,2018,4275000,4275000,4275000
--,Justin Smoak,TOR,1B,"$4,250,000",2 (2017-18),"$8,500,000","$4,250,000",2,2017-18,2017,8500000,4250000,4250000
--,Justin Wilson,CHC,RP,"$4,250,000",1 (2018),"$4,250,000","$4,250,000",1,2018,2018,4250000,4250000,4250000
--,Kolten Wong,STL,2B,"$4,200,000",5 (2016-20),"$25,500,000","$5,100,000",5,2016-20,2016,25500000,5100000,4200000
--,Erasmo Ramirez,SEA,SP,"$4,200,000",1 (2018),"$4,200,000","$4,200,000",1,2018,2018,4200000,4200000,4200000
--,Kyle Gibson,MIN,SP,"$4,200,000",1 (2018),"$4,200,000","$4,200,000",1,2018,2018,4200000,4200000,4200000
--,Kyle Hendricks,CHC,SP,"$4,175,000",1 (2018),"$4,175,000","$4,175,000",1,2018,2018,4175000,4175000,4175000
--,Matt Shoemaker,LAA,SP,"$4,125,000",1 (2018),"$4,125,000","$4,125,000",1,2018,2018,4125000,4125000,4125000
--,Yangervis Solarte,TOR,3B,"$4,125,000",2 (2017-18),"$7,500,000","$3,750,000",2,2017-18,2017,7500000,3750000,4125000
--,Hector Rondon,HOU,RP,"$4,000,000",2 (2018-19),"$8,500,000","$4,250,000",2,2018-19,2018,8500000,4250000,4000000
--,Yusmeiro Petit,OAK,RP,"$4,000,000",2 (2018-19),"$10,000,000","$5,000,000",2,2018-19,2018,10000000,5000000,4000000
--,Tyler Flowers,ATL,C,"$4,000,000",1 (2018),"$4,000,000","$4,000,000",1,2018,2018,4000000,4000000,4000000
--,Alex Avila,ARI,C,"$4,000,000",2 (2018-19),"$8,250,000","$4,125,000",2,2018-19,2018,8250000,4125000,4000000
--,Matt Adams,WSH,1B,"$4,000,000",1 (2018),"$4,000,000","$4,000,000",1,2018,2018,4000000,4000000,4000000
--,Doug Fister,TEX,SP,"$4,000,000",1 (2018),"$4,000,000","$4,000,000",1,2018,2018,4000000,4000000,4000000
--,Carlos Gomez,TB,OF,"$4,000,000",1 (2018),"$4,000,000","$4,000,000",1,2018,2018,4000000,4000000,4000000
--,Francisco Liriano,DET,SP,"$4,000,000",1 (2018),"$4,000,000","$4,000,000",1,2018,2018,4000000,4000000,4000000
--,Neil Walker,NYY,2B,"$4,000,000",1 (2018),"$4,000,000","$4,000,000",1,2018,2018,4000000,4000000,4000000
--,Chris Iannetta,COL,C,"$3,975,000",2 (2018-19),"$8,500,000","$4,250,000",2,2018-19,2018,8500000,4250000,3975000
--,Robbie Ray,ARI,SP,"$3,950,000",1 (2018),"$3,950,000","$3,950,000",1,2018,2018,3950000,3950000,3950000
--,Nate Jones,CWS,RP,"$3,950,000",3 (2016-18),"$8,000,000","$2,666,667",3,2016-18,2016,8000000,2666667,3950000
--,Martin Maldonado,LAA,C,"$3,900,000",1 (2018),"$3,900,000","$3,900,000",1,2018,2018,3900000,3900000,3900000
