,Espn_id,War_salary_prediction
386,30648,-1
387,6219,-1
388,31556,4725684
389,31887,4978382
390,6514,-1
391,33390,5578539
392,34893,5894411
393,30475,2514578
394,5921,2451403
395,31079,-1
396,30526,-1
397,5411,-1
398,31174,-1
399,31718,5009969
400,30937,7694883
401,31385,3367433
402,30744,-1
403,30878,-1
404,32101,3904416
405,32704,2640927
406,31557,4536160
407,30433,-1
408,31195,-1
409,31755,-1
410,39849,113948
411,31221,3493782
412,31495,3714892
413,32397,4251875
414,30517,-1
415,30954,-1
416,28545,-1
417,32903,2230293
418,30181,4220288
419,31588,-1
420,32169,3967590
421,30665,3304258
422,32094,6273458
423,32265,4220288
424,32512,5389016
425,31358,-1
426,33072,3967590
427,32589,5610126
428,32842,5167905
429,30378,-1
430,28694,-1
431,35185,9116309
432,30650,-1
433,30694,3714892
434,30148,4788858
435,5829,3936003
436,29210,-1
437,30392,-1
438,32938,6589330
439,31389,3114735
440,32607,4283463
441,33252,3051561
442,31867,-1
443,28586,-1
444,31987,4220288
445,32355,4220288
446,30464,4662509
447,29258,-1
448,29265,-1
449,31222,-1
450,31753,-1
451,32641,3051561
452,29439,-1
453,33089,3967590
454,33497,4536160
455,32810,4093939
456,30791,5862824
457,30664,-1
458,35276,1061565
459,30328,4504573
460,34830,4915207
461,31716,2325054
462,31083,4346637
463,32587,3493782
464,29470,1693310
465,35070,2325054
466,39839,-1
467,36081,2640927
468,34294,2482990
469,36169,1851246
470,35867,2482990
471,39836,3588543
472,33617,-1
473,32075,3683305
474,32623,-1
475,32099,2893624
476,29330,2514578
477,31117,2261880
478,30611,-1
479,32653,16918354
480,29318,5610126
481,5383,-1
482,28661,-1
483,31961,-1
484,4588,-1
485,29962,4536160
486,31061,-1
487,29220,-1
488,28705,8358215
489,6316,-1
490,30636,4125526
491,30471,2862037
492,33184,7063139
493,32217,3209497
494,31337,-1
495,33453,-1
496,31964,2577752
497,30600,3209497
498,30267,5325841
499,33631,2135531
500,33180,6431394
501,31779,2103944
502,32680,2388229
503,32628,4409811
504,33729,2325054
505,33014,3525369
506,32672,3209497
507,31858,2325054
508,35050,5073143
509,31558,-1
510,30728,3146322
511,4570,-1
512,30412,-1
513,32396,2640927
514,32127,6936790
515,30531,2451403
516,29238,-1
517,31791,2198705
518,32524,2325054
519,31263,2546165
520,32664,5925998
521,32888,2640927
522,32129,17076290
523,33192,12969950
524,32269,3430607
525,34986,6652505
526,31095,9021547
527,31200,3809654
528,31092,-1
529,33425,3525369
530,31601,-1
531,33711,7694883
532,32691,13380584
533,32147,3272671
534,33263,9748053
535,33712,4757271
536,32532,10000751
537,31944,7631709
538,31260,6589330
539,30310,3588543
540,31443,2167118
541,32511,7915994
542,34886,9905989
543,33202,3999177
544,31870,6273458
545,33912,9590117
546,31172,1946008
547,32686,5799650
548,32377,5294254
549,32695,3746480
550,32518,6115522
551,31840,3177910
552,38173,7694883
553,32647,2325054
554,33353,4536160
555,32655,7852819
556,34824,5546952
557,33633,-1
558,33710,8895198
559,33106,5325841
560,33235,1851246
561,34842,12117095
562,29955,1788071
563,28577,2830450
564,32911,2956799
565,6500,3904416
566,32900,-1
567,33107,2419816
568,32525,4788858
569,32107,4125526
570,33108,3746480
571,32671,2451403
572,31682,1788071
573,33709,9590117
574,32517,3588543
575,31931,-1
576,33829,6747266
577,33546,4946794
578,31258,6842028
579,34848,3430607
580,35394,6115522
581,33325,6020760
